Year,Region,NMFS Name,Scientific Name,Pounds,Dollars
2018,Gulf,"BUTTERFLYFISH, SPOTFIN ",CHAETODON OCELLATUS,212,791
2018,Gulf,"CARDINALFISH, TWOSPOT ",APOGON PSEUDOMACULATUS,164,389
2018,Gulf,CARDINALFISHES **,APOGONIDAE,157,155
2018,Gulf,"CARP, BIGHEAD ",HYPOPHTHALMICHTHYS NOBILIS,"298,536","30,552"
2018,Gulf,"CARP, COMMON ",CYPRINUS CARPIO,"113,622","12,152"
2018,Gulf,"CARP, GRASS ",CTENOPHARYNGODON IDELLA,"151,911","33,270"
2018,Gulf,"CARP, SILVER ",HYPOPHTHALMICHTHYS MOLITRIX,"166,471","27,536"
2018,Gulf,"CASSIOPEA, JAMAICAN ",CASSIOPEA XANTHOCHANA,"1,701","4,798"
2018,Gulf,"CATFISH, BLUE ",ICTALURUS FURCATUS,"3,696,519","2,486,566"
2018,Gulf,"CATFISH, CHANNEL ",ICTALURUS PUNCTATUS,"814,348","641,731"
2018,Gulf,"CATFISH, FLATHEAD ",PYLODICTIS OLIVARIS,"259,778","149,852"
2018,Gulf,"CATFISH, GAFFTOPSAIL ",BAGRE MARINUS,"3,150","1,815"
2018,Gulf,"CATFISH, HARDHEAD ",ARIOPSIS FELIS,NA,NA
2018,Gulf,"CATFISHES, FORKTAIL **",ICTALURUS,309,197
2018,Gulf,"CATFISHES, SEA **",ARIIDAE,"21,481","9,712"
2018,Gulf,CERO ,SCOMBEROMORUS REGALIS,"9,352","9,642"
2018,Gulf,CHERUBFISH ,CENTROPYGE,NA,NA
2018,Gulf,CHITONS **,POLYPLACOPHORA,142,724
2018,Gulf,"CHROMIS, BLUE ",CHROMIS CYANEA,"3,737","13,253"
2018,Gulf,"CHROMIS, BROWN ",CHROMIS MULTILINEATA,370,602
2018,Gulf,"CHUB, BERMUDA ",KYPHOSUS SECTATOR,NA,NA
2018,Gulf,"CLAM, BOX, JEWEL **",CHAMIDAE,212,277
2018,Gulf,"CLAM, FILE, ROUGH **",LOXORHYNCHUS,"3,472","2,335"
2018,Gulf,"CLAM, FILE, SPINY ",LIMA LIMA,111,171
2018,Gulf,"CLAM, QUAHOG, SOUTHERN ",MERCENARIA CAMPECHIENSIS,"9,460","72,522"
2018,Gulf,CLAMS **,BIVALVIA,136,420
2018,Gulf,"CLAMS, PENSHELL **",PINNIDAE,8,148
2018,Gulf,CLINGFISHES **,GOBIESOCIDAE,93,115
2018,Gulf,COBIA ,RACHYCENTRON CANADUM,"45,867","160,982"
2018,Gulf,"CONCH, CROWN ",MELONGENA CORONA,567,173
2018,Gulf,"CONCH, FLORIDA FIGHTING ",STROMBUS ALATUS,"7,824","8,779"
2018,Gulf,"CONCH, HAWKWING ",STROMBUS RANINUS,621,661
2018,Gulf,"CONCH, HORSE ",PLEUROPLOCA GIGANTEA,56,167
2018,Gulf,"CONCH, MILK ",STROMBUS COSTATUS,50,154
2018,Gulf,"CONCH, OTHER **",MESOGASTROPODA,357,344
2018,Gulf,"COOTER, RIVER ",PSEUDEMYS CONCINNA,NA,NA
