gag grouper
red grouper
scamp
shallow serranidae
deep serranidae
red snapper
vermilion snapper
lutjanidae
bioeroding fish
large reef fish
small reef fish
black drum
red drum
seatrout
sciaenidae
ladyfish
mullets
pompano
sheepshead
snook
flatfish
other demersal fish
small demersal fish
yellowfin tuna
bluefin tuna
little tunny
other tuna
swordfish
white marlin
blue marlin
other billfish
greater amberjack
jacks
king mackerel
spanish mackerel
spanish sardine
large pelagic fish
deep water fish
menhaden
pinfish
medium pelagic fish
small pelagic fish
blacktip shark
benthic feeding sharks
large sharks
filter feeding sharks
small sharks
skates and rays
brown shrimp
white shrimp
pink shrimp
other shrimp
diving birds
surface feeding birds
manatee
mysticeti
dolphins and porpoises
deep diving odontocetae
loggerhead
kemps ridley
other turtles
blue crab
stone crab
crabs and lobsters
stony corals
crustose coralline algae
octocorals
sponges
carnivorous macrobenthos
infaunal meiobenthos
herbivorous echinoderms
oysters
bivalves
sessile filter feeders
epiphytes
sea grass
macroalgae
microphytobenthos
large phytoplankton
small phytoplankton
toxic dinoflagellates
protists
jellyfish
squid
large zooplankton
small zooplankton
bacteria
sediment bacteria
carrion detritus
labile detritus
refractory detritus
carrion detritus sediment
labile detritus sediment
refractory detritus sediment
