Code,preyvalue,long_name,guild,habit,tot_catch,tot_catch_base,dollar_kg,gross_value_mt,gross_value_base_mt
AMB,9.999999999999997e-6,Greater amberjack,Pelagic,Pelagic,1017.1561036819475,1021.6852851375209,3.488055460906452,3547896.9020421463,3563694.9381516953
AMB,1.4421602258335023e-5,Greater amberjack,Pelagic,Pelagic,1017.1579047871899,1021.686959039186,3.488055460906452,3547903.1843971224,3563700.776813539
AMB,2.0798261169761385e-5,Greater amberjack,Pelagic,Pelagic,1017.1606143729223,1021.6950593646891,3.488055460906452,3547912.6355824335,3563729.0311981454
AMB,2.9994425025527246e-5,Greater amberjack,Pelagic,Pelagic,1017.1565478087408,1021.7044115800188,3.488055460906452,3547898.451181033,3563761.652243898
AMB,4.3256766768560436e-5,Greater amberjack,Pelagic,Pelagic,1017.1554562474627,1021.6689290381818,3.488055460906452,3547894.643754756,3563637.8871700764
AMB,6.238318853177415e-5,Greater amberjack,Pelagic,Pelagic,1017.1318338967885,1021.6711015935829,3.488055460906452,3547812.2476854874,3563645.4651638074
AMB,8.996655326119738e-5,Greater amberjack,Pelagic,Pelagic,1017.1455531101469,1021.6551976423088,3.488055460906452,3547860.1010625614,3563589.991299716
AMB,1.2974618476863025e-4,Greater amberjack,Pelagic,Pelagic,1017.1352143642475,1021.6478101314741,3.488055460906452,3547824.038943468,3563564.223252206
AMB,1.8711478712696313e-4,Greater amberjack,Pelagic,Pelagic,1017.1148797880886,1021.6224199384768,3.488055460906452,3547753.110814052,3563475.6608508686
AMB,2.698495036598089e-4,Greater amberjack,Pelagic,Pelagic,1017.091753057595,1021.6681930807549,3.488055460906452,3547672.443495461,3563635.320109755
AMB,3.891662211390886e-4,Greater amberjack,Pelagic,Pelagic,1017.0762857022346,1021.6095145837855,3.488055460906452,3547618.49250213,3563430.6462579626
AMB,5.612400453647188e-4,Greater amberjack,Pelagic,Pelagic,1017.0285698362575,1021.5263931021495,3.488055460906452,3547452.0569152366,3563140.7139200238
AMB,8.09398070569988e-4,Greater amberjack,Pelagic,Pelagic,1016.9609310653808,1021.4164730788559,3.488055460906452,3547216.1291311113,3562757.3067825115
AMB,0.001167281704242415,Greater amberjack,Pelagic,Pelagic,1016.881146602762,1021.2645549781441,3.488055460906452,3546937.8365005786,3562227.408021713
AMB,0.0016834072462015557,Greater amberjack,Pelagic,Pelagic,1016.7476252127832,1021.038864680094,3.488055460906452,3546472.106487115,3561440.1877451255
AMB,0.00242774297435179,Greater amberjack,Pelagic,Pelagic,1016.5527330565027,1020.7575985444241,3.488055460906452,3545792.311837113,3560459.1158646345
AMB,0.0035011943561568766,Greater amberjack,Pelagic,Pelagic,1016.3491734221187,1020.3869366986472,3.488055460906452,3545082.28454278,3559166.2267893227
AMB,0.005049283243362186,Greater amberjack,Pelagic,Pelagic,1016.0854347952682,1019.9779799340536,3.488055460906452,3544162.349585142,3557739.762913307
AMB,0.00728187546254453,Greater amberjack,Pelagic,Pelagic,1015.8626384629908,1019.5576040009603,3.488055460906452,3543385.223621672,3556273.4683442474
AMB,0.01050163116155465,Greater amberjack,Pelagic,Pelagic,1015.7057431127397,1019.1320629913117,3.488055460906452,3542837.9639384374,3554789.1577017033
AMB,0.015145034767567803,Greater amberjack,Pelagic,Pelagic,1015.6446881104193,1018.8306037030428,3.488055460906452,3542625.0007041786,3553737.6509850156
AMB,0.02184156676065183,Greater amberjack,Pelagic,Pelagic,1015.7179434625583,1018.6603607648958,3.488055460906452,3542880.5194352474,3553143.8341749315
AMB,0.03149903885209916,Greater amberjack,Pelagic,Pelagic,1015.9782069474163,1018.7192464349644,3.488055460906452,3543788.332904881,3553349.230657983
AMB,0.0454266609844816,Greater amberjack,Pelagic,Pelagic,1016.4133126480764,1019.101714077083,3.488055460906452,3545306.00572014,3554683.299005695
AMB,0.06551252366424194,Greater amberjack,Pelagic,Pelagic,1017.1008855472056,1019.8833659581879,3.488055460906452,3547704.2981257187,3557409.7441181107
AMB,0.09447955592254584,Greater amberjack,Pelagic,Pelagic,1018.0348015274981,1021.0863494445463,3.488055460906452,3550961.848860806,3561605.8172370833
AMB,0.13625465770590775,Greater amberjack,Pelagic,Pelagic,1019.215105969567,1022.8402088477968,3.488055460906452,3555078.8162154965,3567723.3761062534
AMB,0.19650104792801815,Greater amberjack,Pelagic,Pelagic,1020.5780188033616,1025.1588157667798,3.488055460906452,3559832.731768153,3575810.8056317074
AMB,0.28338599565639055,Greater amberjack,Pelagic,Pelagic,1021.9522078433433,1027.9572997901932,3.488055460906452,3564625.979353379,3585572.0731118345
AMB,0.4086880114938722,Greater amberjack,Pelagic,Pelagic,1022.9760392688337,1030.8755580000457,3.488055460906452,3568197.1601481084,3595751.1195970452
AMB,0.5893935949514477,Greater amberjack,Pelagic,Pelagic,1023.1975203789536,1033.317596425378,3.488055460906452,3568969.6985437497,3604269.085062269
AMB,0.85,Greater amberjack,Pelagic,Pelagic,1022.259380461061,1034.6514333909881,3.488055460906452,3565697.41448005,3608921.5823741243
BDR,9.999999999999997e-6,Black drum,Demersal,Demersal,1277.214679150682,1278.1119535773282,2.2352077808665416,2854840.188674568,2856845.7834545802
BDR,1.4421602258335023e-5,Black drum,Demersal,Demersal,1277.224126018024,1278.1206828379588,2.2352077808665416,2854861.3043859554,2856865.295165863
BDR,2.0798261169761385e-5,Black drum,Demersal,Demersal,1277.2383549411018,1278.1327168667692,2.2352077808665416,2854893.1089855325,2856892.193720695
