predator,availability,H,no_resources,standarized_H,standarized_H2
BDR,0.13625465770590775,1.084876560610676,24,0.3413650675929235,0.9973430277430402
BDR,0.19650104792801815,1.084847523220802,24,0.34135593074646836,0.9973163332421298
BDR,0.28338599565639055,1.084931681905387,24,0.34138241194819674,0.9973937015624921
BDR,0.4086880114938722,1.0851934243689716,24,0.34146477130318476,0.9976343252708461
BDR,0.5893935949514477,1.0855190944756044,24,0.34156724600122884,0.9979337186046017
BDR,0.85,1.0858377744474654,24,0.34166752119758265,0.9982266858043337
BEN,9.999999999999997e-6,0.7892661298712663,17,0.27857631389710336,0.9998774866504054
BEN,1.4421602258335023e-5,0.7892660678038689,17,0.2785762919900353,0.9998774080206619
BEN,2.0798261169761385e-5,0.7892659360577379,17,0.2785762454894316,0.9998772411187953
BEN,2.9994425025527246e-5,0.7892656902499964,17,0.27857615873008396,0.9998769297186002
BEN,4.3256766768560436e-5,0.7892662915429477,17,0.27857637096011334,0.9998776914632921
BEN,6.238318853177415e-5,0.7892661820385706,17,0.27857633230987283,0.99987755273827
BEN,8.996655326119738e-5,0.7892664931884852,17,0.27857644213214067,0.9998779469168402
BEN,1.2974618476863025e-4,0.7892666877731606,17,0.2785765108119934,0.9998781934253735
BEN,1.8711478712696313e-4,0.7892673487918349,17,0.27857674412258254,0.9998790308332716
BEN,2.698495036598089e-4,0.7892676422312176,17,0.27857684769380964,0.9998794025753511
BEN,3.891662211390886e-4,0.7892691548648775,17,0.27857738158712303,0.999881318847043
BEN,5.612400453647188e-4,0.789271295247611,17,0.27857813704831624,0.9998840303792208
BEN,8.09398070569988e-4,0.7892735213212037,17,0.278578922754623,0.9998868504683958
BEN,0.001167281704242415,0.7892759452591083,17,0.2785797782983503,0.9998899212208937
BEN,0.0016834072462015557,0.7892819266724065,17,0.2785818894748032,0.9998974987416676
BEN,0.00242774297435179,0.7892892516197454,17,0.2785844748598235,0.9999067783112042
BEN,0.0035011943561568766,0.7892971656935697,17,0.2785872681806445,0.9999168042124118
BEN,0.005049283243362186,0.7893066939361673,17,0.278590631232219,0.9999288750145153
BEN,0.00728187546254453,0.7893162940236063,17,0.2785940196418702,0.9999410368328638
BEN,0.01050163116155465,0.7893258192113521,17,0.2785973816152161,0.9999531037649452
BEN,0.015145034767567803,0.7893332136614809,17,0.27859999153167164,0.9999624713837116
BEN,0.02184156676065183,0.789355927682274,17,0.27860800858440815,0.9999912465169181
BEN,0.03149903885209916,0.789360470187015,17,0.2786096118892742,0.9999970011642437
BEN,0.0454266609844816,0.7893621325694113,17,0.27861019863732117,0.9999991071443046
BEN,0.06551252366424194,0.7893623938137114,17,0.2786102908450967,0.9999994381002196
BEN,0.09447955592254584,0.7893623114290121,17,0.27861026176691256,0.9999993337316132
BEN,0.13625465770590775,0.7893612156353538,17,0.27860987499983036,0.999997945531401
BEN,0.19650104792801815,0.7893591006355227,17,0.27860912849768804,0.9999952661554145
BEN,0.28338599565639055,0.7893559578496955,17,0.2786080192321843,0.9999912847343512
BEN,0.4086880114938722,0.7893547462325623,17,0.2786075915844974,0.9999897498038023
BEN,0.5893935949514477,0.7893594035099685,17,0.2786092353990784,0.9999956498502521
BEN,0.85,0.7893628373565164,17,0.2786104473962459,1
BIL,9.999999999999997e-6,0.5572338916134406,6,0.31099815638396716,0.5547354912204573
BIL,1.4421602258335023e-5,0.5574522655189912,6,0.31112003318121645,0.554952886030049
BIL,2.0798261169761385e-5,0.5577332154534992,6,0.3112768343251942,0.5552325763042288
BIL,2.9994425025527246e-5,0.5581763010408571,6,0.3115241250999704,0.5556736752837687
BIL,4.3256766768560436e-5,0.5587233525221791,6,0.3118294403449668,0.556218274018306
BIL,6.238318853177415e-5,0.5595162730376138,6,0.31227197771064136,0.557007639414504
BIL,8.996655326119738e-5,0.5606311612757148,6,0.3128942086837425,0.5581175289666779
