time,Fishery,simulation,scenario,variable,year,fg_atlantis,value_mt
365,GillnetEst,1,oil_meso,catch_fishery,2011,SWD,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,WMR,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,BMR,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,BIL,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,AMB,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,JCK,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,KMK,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,SMK,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,SAR,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,LPL,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,DWF,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,MEN,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,PIN,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,MPL,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,SPL,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,TIP,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,BEN,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,LGS,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,FIL,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,SMS,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,RAY,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,BSH,10341.59
365,GillnetEst,1,oil_meso,catch_fishery,2011,WSH,12108.57
365,GillnetEst,1,oil_meso,catch_fishery,2011,PSH,441.7215
365,GillnetEst,1,oil_meso,catch_fishery,2011,OSH,4.618788
365,GillnetEst,1,oil_meso,catch_fishery,2011,DBR,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,SBR,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,MAN,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,MYS,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,DOL,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,DDO,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,LOG,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,KMP,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,TUR,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,BCR,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,SCR,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,LOB,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,CMB,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,OYS,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,BIV,1509.341
365,GillnetEst,1,oil_meso,catch_fishery,2011,SES,0
365,GillnetEst,1,oil_meso,catch_fishery,2011,SQU,0
