time,Fishery,simulation,scenario,variable,year,fg_atlantis,value_mt
365,SprtShf,1,oil_all,catch_fishery,2011,KMP,0
365,SprtShf,1,oil_all,catch_fishery,2011,TUR,0
365,SprtShf,1,oil_all,catch_fishery,2011,BCR,0
365,SprtShf,1,oil_all,catch_fishery,2011,SCR,1516.408
365,SprtShf,1,oil_all,catch_fishery,2011,LOB,6.080631
365,SprtShf,1,oil_all,catch_fishery,2011,CMB,0
365,SprtShf,1,oil_all,catch_fishery,2011,OYS,0
365,SprtShf,1,oil_all,catch_fishery,2011,BIV,0
365,SprtShf,1,oil_all,catch_fishery,2011,SES,0
365,SprtShf,1,oil_all,catch_fishery,2011,SQU,0.7751325
365,TwlShpShf,1,oil_all,catch_fishery,2011,GAG,0
365,TwlShpShf,1,oil_all,catch_fishery,2011,RGR,0
365,TwlShpShf,1,oil_all,catch_fishery,2011,SCM,0
365,TwlShpShf,1,oil_all,catch_fishery,2011,SSR,0.4692627
365,TwlShpShf,1,oil_all,catch_fishery,2011,DSR,0
365,TwlShpShf,1,oil_all,catch_fishery,2011,RSN,0
365,TwlShpShf,1,oil_all,catch_fishery,2011,VSN,0
365,TwlShpShf,1,oil_all,catch_fishery,2011,LUT,0
365,TwlShpShf,1,oil_all,catch_fishery,2011,BIO,0
365,TwlShpShf,1,oil_all,catch_fishery,2011,LRF,0.008655722
365,TwlShpShf,1,oil_all,catch_fishery,2011,SRF,0
365,TwlShpShf,1,oil_all,catch_fishery,2011,BDR,0
365,TwlShpShf,1,oil_all,catch_fishery,2011,RDR,0
365,TwlShpShf,1,oil_all,catch_fishery,2011,SEA,0
365,TwlShpShf,1,oil_all,catch_fishery,2011,SCI,0
365,TwlShpShf,1,oil_all,catch_fishery,2011,LDY,0
