fg_atlantis,Index,IsTurnedOn,Name,Long Name,NumCohorts,VerticallyMigrates,HorizontallyMigrates,isFished,IsImpacted,isTAC,InvertType,isPredator,IsCover,isSiliconDep,isAssessed,IsCatchGrazer,isOverWinter
COR,64,1,COR,Stony corals,1,0,0,0,0,0,PHYTOBEN,0,1,0,0,0,0
CCA,65,1,CCA,Crustose coralline algae,1,0,0,0,0,0,PHYTOBEN,0,0,0,0,0,0
OCT,66,1,OCT,Octocorals,1,0,0,0,0,0,PHYTOBEN,0,0,0,0,0,0
SPG,67,1,SPG,Sponges,1,0,0,0,0,0,SED_EP_FF,1,0,0,0,0,0
CMB,68,1,CMB,Carnivorous macrobenthos,1,0,0,1,1,1,MOB_EP_OTHER,1,0,0,0,0,0
INF,69,1,INF,Infaunal meiobenthos,1,0,0,0,0,0,LG_INF,1,0,0,0,0,0
ECH,70,1,ECH,Herbivorous echinoderms,1,0,0,0,0,0,MOB_EP_OTHER,1,0,0,0,0,0
OYS,71,1,OYS,Oysters,1,0,0,1,1,1,SED_EP_FF,1,1,0,0,0,0
BIV,72,1,BIV,Bivalves,1,0,0,1,1,1,SED_EP_FF,1,1,0,0,0,0
SES,73,1,SES,Sessile filter feeders,1,0,0,1,1,1,SED_EP_FF,1,0,0,0,0,0
EPI,74,1,EPI,Epiphytes,1,0,0,0,0,0,PHYTOBEN,0,0,0,0,0,0
GRS,75,1,GRS,Sea grass,1,0,0,0,0,0,SEAGRASS,0,1,0,0,0,0
ALG,76,1,ALG,Macroalgae,1,0,0,0,0,0,PHYTOBEN,0,1,0,0,0,0
MPB,77,1,MPB,Microphytobenthos,1,0,0,0,0,0,MICROPHTYBENTHOS,0,0,1,0,0,0
LPP,78,1,LPP,Large phytoplankton,1,1,0,0,0,0,LG_PHY,0,0,1,0,0,0
SPP,79,1,SPP,Small phytoplankton,1,1,0,0,0,0,SM_PHY,0,0,0,0,0,0
DIN,80,1,DIN,Toxic dinoflagellates,1,1,0,0,0,0,DINOFLAG,1,0,0,0,0,0
PRO,81,1,PRO,Protists,1,0,0,0,0,0,SM_ZOO,1,0,0,0,0,0
JEL,82,1,JEL,Jellyfish,1,1,0,0,0,0,LG_ZOO,1,0,0,0,0,0
SQU,83,1,SQU,Squid,1,1,0,1,1,1,LG_ZOO,1,0,0,0,0,0
LZP,84,1,LZP,Large zooplankton,1,1,0,0,0,0,LG_ZOO,1,0,0,0,0,0
SZP,85,1,SZP,Small zooplankton,1,1,0,0,0,0,LG_ZOO,1,0,0,0,0,0
PB,86,1,PB,Bacteria,1,0,0,0,0,0,PL_BACT,0,0,0,0,0,0
BB,87,1,BB,Sediment bacteria,1,0,0,0,0,0,SED_BACT,0,0,0,0,0,0
DC,88,1,DC,Carrion detritus,1,0,0,0,0,0,CARRION,0,0,0,0,0,0
DL,89,1,DL,Labile detritus,1,0,0,0,0,0,LAB_DET,0,0,0,0,0,0
DR,90,1,DR,Refractory detritus,1,0,0,0,0,0,REF_DET,0,0,0,0,0,0
