Code,preyvalue,long_name,guild,habit,tot_catch,tot_catch_base,dollar_kg,gross_value_mt,gross_value_base_mt
AMB,9.999999999999997e-6,Greater amberjack,Pelagic,Pelagic,343.19049305128357,344.7187091218537,3.488055460906452,1197067.4734187075,1202397.9758291047
AMB,1.4421602258335023e-5,Greater amberjack,Pelagic,Pelagic,343.1911008765418,344.7192740651107,3.488055460906452,1197069.5935469186,1202399.9463825172
AMB,2.0798261169761385e-5,Greater amberjack,Pelagic,Pelagic,343.19201485410116,344.7220068093143,3.488055460906452,1197072.7815513357,1202409.4783458598
AMB,2.9994425025527246e-5,Greater amberjack,Pelagic,Pelagic,343.19064304693734,344.725162966616,3.488055460906452,1197067.9966118666,1202420.4871975714
AMB,4.3256766768560436e-5,Greater amberjack,Pelagic,Pelagic,343.19027492463124,344.71319128067887,3.488055460906452,1197066.7125808466,1202378.7292930624
AMB,6.238318853177415e-5,Greater amberjack,Pelagic,Pelagic,343.18230488879135,344.71392416230105,3.488055460906452,1197038.9126538117,1202381.2856248068
AMB,8.996655326119738e-5,Greater amberjack,Pelagic,Pelagic,343.1869342232336,344.70855821203656,3.488055460906452,1197055.0600290934,1202362.5688926838
AMB,1.2974618476863025e-4,Greater amberjack,Pelagic,Pelagic,343.18344595823623,344.7060657952972,3.488055460906452,1197042.8927673202,1202353.8752048651
AMB,1.8711478712696313e-4,Greater amberjack,Pelagic,Pelagic,343.17658600665425,344.6974991049931,3.488055460906452,1197018.964875743,1202323.994113968
AMB,2.698495036598089e-4,Greater amberjack,Pelagic,Pelagic,343.1687840162683,344.71296544999706,3.488055460906452,1196991.7511005716,1202377.9415831193
AMB,3.891662211390886e-4,Greater amberjack,Pelagic,Pelagic,343.1635669335425,344.69316623066095,3.488055460906452,1196973.5536266796,1202308.8808079923
AMB,5.612400453647188e-4,Greater amberjack,Pelagic,Pelagic,343.14746925768225,344.66511897471685,3.488055460906452,1196917.4040404875,1202211.0504237332
AMB,8.09398070569988e-4,Greater amberjack,Pelagic,Pelagic,343.12465017571895,344.6280300493728,3.488055460906452,1196837.8098170324,1202081.6821951477
AMB,0.001167281704242415,Greater amberjack,Pelagic,Pelagic,343.09773382229025,344.5767690666471,3.488055460906452,1196743.9240834678,1201902.88104442
AMB,0.0016834072462015557,Greater amberjack,Pelagic,Pelagic,343.0526879737039,344.5006175763145,3.488055460906452,1196586.801665315,1201637.260422709
AMB,0.00242774297435179,Greater amberjack,Pelagic,Pelagic,342.98693501260755,344.4057130357568,3.488055460906452,1196357.4516902922,1201306.228121752
AMB,0.0035011943561568766,Greater amberjack,Pelagic,Pelagic,342.9182573421241,344.28064461922787,3.488055460906452,1196117.90016672,1200869.9825484913
AMB,0.005049283243362186,Greater amberjack,Pelagic,Pelagic,342.8292740018151,344.14265704866403,3.488055460906452,1195807.5213406256,1200388.6742494488
AMB,0.00728187546254453,Greater amberjack,Pelagic,Pelagic,342.75410246133913,344.00081565743506,3.488055460906452,1195545.3188383635,1199893.9236101902
AMB,0.01050163116155465,Greater amberjack,Pelagic,Pelagic,342.7011644849045,343.85723118314036,3.488055460906452,1195360.6682405714,1199393.0930005251
AMB,0.015145034767567803,Greater amberjack,Pelagic,Pelagic,342.68056370998784,343.75551300374417,3.488055460906452,1195288.8115951244,1199038.2943494087
AMB,0.02184156676065183,Greater amberjack,Pelagic,Pelagic,342.70528262397653,343.6980710132085,3.488055460906452,1195375.0325380503,1198837.9335006354
AMB,0.03149903885209916,Greater amberjack,Pelagic,Pelagic,342.79310212804904,343.71794161719197,3.488055460906452,1195681.3518388045,1198907.2432693716
AMB,0.0454266609844816,Greater amberjack,Pelagic,Pelagic,342.93991770287664,343.8469943866868,3.488055460906452,1196193.4527063281,1199357.3864867531
AMB,0.06551252366424194,Greater amberjack,Pelagic,Pelagic,343.1719210386639,344.11073659508855,3.488055460906452,1197002.6932086695,1200277.3339370403
AMB,0.09447955592254584,Greater amberjack,Pelagic,Pelagic,343.4870431502522,344.5166411914272,3.488055460906452,1198101.8566108472,1201693.1516809063
AMB,0.13625465770590775,Greater amberjack,Pelagic,Pelagic,343.8853010004532,345.10841621204776,3.488055460906452,1199491.0020800896,1203757.29577321
AMB,0.19650104792801815,Greater amberjack,Pelagic,Pelagic,344.3451717512702,345.8907389720318,3.488055460906452,1201095.0567637882,1206486.0809483635
AMB,0.28338599565639055,Greater amberjack,Pelagic,Pelagic,344.8088420949684,346.8349693698151,3.488055460906452,1202712.364638185,1209779.6089437057
AMB,0.4086880114938722,Greater amberjack,Pelagic,Pelagic,345.15428895404074,347.8195988108413,3.488055460906452,1203917.3024414254,1213214.0510424462
AMB,0.5893935949514477,Greater amberjack,Pelagic,Pelagic,345.2290026015906,348.64352682891564,3.488055460906452,1204177.9077877658,1216087.9576652844
AMB,0.85,Greater amberjack,Pelagic,Pelagic,344.9124401410537,349.0935239706523,3.488055460906452,1203073.720368572,1217657.5726529113
BDR,9.999999999999997e-6,Black drum,Demersal,Demersal,335.8645533952778,336.1006083341637,2.2352077808665416,750727.063066391,751254.6949025008
BDR,1.4421602258335023e-5,Black drum,Demersal,Demersal,335.8670374443839,336.10290369893204,2.2352077808665416,750732.615432281,751259.8255196909
