predator,availability,H,no_resources,standarized_H,standarized_H2
AMB,9.999999999999997e-6,1.1790801991495934,7,0.6059273598639716,0.8604138678345143
AMB,1.4421602258335023e-5,1.1791063279010539,7,0.6059407873860353,0.8604329348497369
AMB,2.0798261169761385e-5,1.1791466506881747,7,0.6059615091994964,0.8604623597228317
AMB,2.9994425025527246e-5,1.179200201805797,7,0.6059890290300746,0.8605014377467638
AMB,4.3256766768560436e-5,1.1792793390977812,7,0.6060296975532449,0.8605591868494415
AMB,6.238318853177415e-5,1.1793834232014324,7,0.6060831862015783,0.8606351404667335
AMB,8.996655326119738e-5,1.1795457320901312,7,0.6061665964704325,0.8607535826378513
AMB,1.2974618476863025e-4,1.1797669573408787,7,0.6062802837600819,0.8609150180294349
AMB,1.8711478712696313e-4,1.1800786579353257,7,0.6064404661788839,0.861142476275505
AMB,2.698495036598089e-4,1.180516888412671,7,0.6066656720947676,0.8614622675672998
AMB,3.891662211390886e-4,1.1811381111680166,7,0.6069849174389821,0.8619155943843383
AMB,5.612400453647188e-4,1.1819893517840545,7,0.6074223685805218,0.8625367728516141
AMB,8.09398070569988e-4,1.183184985215138,7,0.6080368026188374,0.8634092661609689
AMB,0.001167281704242415,1.184819373389448,7,0.6088767119924041,0.8646019333362938
AMB,0.0016834072462015557,1.186984701058993,7,0.6099894702924705,0.8661820446439265
AMB,0.00242774297435179,1.1897760955504193,7,0.6114239632945146,0.8682190176443656
AMB,0.0035011943561568766,1.1932276701741948,7,0.6131977217722384,0.8707377459499586
AMB,0.005049283243362186,1.197204779809275,7,0.6152415518211288,0.8736399745569603
AMB,0.00728187546254453,1.2015115465974935,7,0.6174547921345674,0.87678276490556
AMB,0.01050163116155465,1.206017615507237,7,0.6197704534778885,0.8800709926123416
AMB,0.015145034767567803,1.2109493817988528,7,0.6223048800001049,0.8836698657961042
AMB,0.02184156676065183,1.2168208698999958,7,0.6253222280025259,0.8879544851041822
AMB,0.03149903885209916,1.224223374671281,7,0.6291263629338736,0.8933563379777345
AMB,0.0454266609844816,1.2336947694455997,7,0.6339936970083255,0.9002679284000289
AMB,0.06551252366424194,1.2457014205022328,7,0.6401638950837412,0.9090295792892796
AMB,0.09447955592254584,1.260626970728125,7,0.6478341106037837,0.9199212475648393
AMB,0.13625465770590775,1.2786526982320936,7,0.6570975020880819,0.9330752178659324
AMB,0.19650104792801815,1.2994955639129946,7,0.6678086162117324,0.9482849471873083
AMB,0.28338599565639055,1.3220473200127794,7,0.6793979262889387,0.9647417104390966
AMB,0.4086880114938722,1.3438582883379768,7,0.6906065467567368,0.980657896319781
AMB,0.5893935949514477,1.3612028053833223,7,0.6995198653155437,0.9933147647901962
AMB,0.85,1.3703640111207145,7,0.7042277937580979,1
BCR,9.999999999999997e-6,0.043186157769749746,10,0.018755510014005557,0.975119625954477
BCR,1.4421602258335023e-5,0.04318673693125046,10,0.018755761540649448,0.9751327031017647
BCR,2.0798261169761385e-5,0.043189627194211676,10,0.018757016765904754,0.9751979636454944
BCR,2.9994425025527246e-5,0.04319079305586681,10,0.01875752309318824,0.975224288158713
BCR,4.3256766768560436e-5,0.04319234361128922,10,0.01875819649085208,0.9752592988450441
BCR,6.238318853177415e-5,0.04319567550398535,10,0.018759643513464302,0.9753345311446363
BCR,8.996655326119738e-5,0.04320405967326173,10,0.018763284711916375,0.9755238410631595
BCR,1.2974618476863025e-4,0.0432094732181578,10,0.018765635784592276,0.975646075921428
BCR,1.8711478712696313e-4,0.04321967321925346,10,0.018770065588783528,0.9758763863210279
